OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude,geocoding_query,cleaned_name,is_new_geocoding,processed_date,geocoding_success
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,36.565943,-95.2213604,,WOODSHED OF BIG CABIN,False,2025-02-22,True
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,43.9724095,-90.5037531,,KWIK TRIP,False,2025-02-22,True
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.9296203,-112.6732116,,PILOT TRAVEL CENTER,False,2025-02-22,True
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.3843722,-94.4209646,,LITTLEFIELD EXPRESS,False,2025-02-22,True
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.8972511,-75.0704332,,ACI TRUCK STOP,False,2025-02-22,True
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.7408259,-78.6446573,,SHENANDOAH TRUCK CENTER,False,2025-02-22,True
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.7756199,-97.6274326,,CIRCLE K,False,2025-02-22,True
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,32.4056583,-85.9556229,,PETRO STOPPING CENTER,False,2025-02-22,True
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,38.957183,-85.83661889999999,,TA SEYMOUR TRAVEL CENTER,False,2025-02-22,True
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.2287796,-95.8536288,,TA COUNCIL BLUFFS TRAVEL CENTER,False,2025-02-22,True
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,46.8306753,-100.2897433,,TOPS TRUCK STOP,False,2025-02-22,True
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.4914306,-107.8907383,,Good 2 Go,False,2025-02-22,True
